Company_ID,CompanyName,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,Scope 1 Carbon Emissions,Scope 2 Carbon Emissions,Scope 3 Carbon Emissions,Energy Consumption,Water Consumption,Waste Generation,Environmental Policy & Management,Turnover Rate,Total Employees,Gender Diversity,Training (Number of Times),Training (Average Hours),Employee Fatalities,Occupational Injury,Communities and Philanthropy,Consumer Privacy Protection,Board Composition,Ethical Behavior,Cyber Security,Alignment with Frameworks,Assurance,Policy Influence,Risk & Crisis Management,Partnerships and Collaborations,Public Sentiment,Market Share,Profitability,WACC,Volatility,Liquidity,Beta Coefficient,GDP Growth,Unemployment
11,Pegatron,64.6,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,1.2919999999999998,1.2919999999999998,1.2919999999999998,0.6459999999999999,0.6459999999999999,0.6459999999999999,1.2919999999999998,1.2919999999999998,1.2919999999999998,1.2919999999999998,0.6459999999999999,0.6459999999999999,0.6459999999999999,0.6459999999999999,0.6459999999999999,3.23,9.69,9.69,6.46,1.2919999999999998,1.2919999999999998,2.5839999999999996,3.23,3.23,1.615,3.23,1.2919999999999998,0.6459999999999999,0.6459999999999999,0.6459999999999999,0.32299999999999995,0.6459999999999999,0.6459999999999999
12,Pegatron,58.6,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,1.1720000000000002,1.1720000000000002,1.1720000000000002,0.5860000000000001,0.5860000000000001,0.5860000000000001,1.1720000000000002,1.1720000000000002,1.1720000000000002,1.1720000000000002,0.5860000000000001,0.5860000000000001,0.5860000000000001,0.5860000000000001,0.5860000000000001,2.93,8.79,8.79,5.86,1.1720000000000002,1.1720000000000002,2.3440000000000003,2.93,2.93,1.465,2.93,1.1720000000000002,0.5860000000000001,0.5860000000000001,0.5860000000000001,0.29300000000000004,0.5860000000000001,0.5860000000000001
13,BOE,63.15,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2020,1.263,1.263,1.263,0.6315,0.6315,0.6315,1.263,1.263,1.263,1.263,0.6315,0.6315,0.6315,0.6315,0.6315,3.1575,9.4725,9.4725,6.315,1.263,1.263,2.526,3.1575,3.1575,1.57875,3.1575,1.263,0.6315,0.6315,0.6315,0.31575,0.6315,0.6315
14,BOE,67.3,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2021,1.3459999999999999,1.3459999999999999,1.3459999999999999,0.6729999999999999,0.6729999999999999,0.6729999999999999,1.3459999999999999,1.3459999999999999,1.3459999999999999,1.3459999999999999,0.6729999999999999,0.6729999999999999,0.6729999999999999,0.6729999999999999,0.6729999999999999,3.365,10.094999999999999,10.094999999999999,6.73,1.3459999999999999,1.3459999999999999,2.6919999999999997,3.365,3.365,1.6825,3.365,1.3459999999999999,0.6729999999999999,0.6729999999999999,0.6729999999999999,0.33649999999999997,0.6729999999999999,0.6729999999999999
15,BOE,66.8,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2022,1.336,1.336,1.336,0.668,0.668,0.668,1.336,1.336,1.336,1.336,0.668,0.668,0.668,0.668,0.668,3.34,10.02,10.02,6.68,1.336,1.336,2.672,3.34,3.34,1.67,3.34,1.336,0.668,0.668,0.668,0.334,0.668,0.668
16,BOE,59.266667,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2023,1.18533334,1.18533334,1.18533334,0.59266667,0.59266667,0.59266667,1.18533334,1.18533334,1.18533334,1.18533334,0.59266667,0.59266667,0.59266667,0.59266667,0.59266667,2.96333335,8.89000005,8.89000005,5.9266667,1.18533334,1.18533334,2.37066668,2.96333335,2.96333335,1.481666675,2.96333335,1.18533334,0.59266667,0.59266667,0.59266667,0.296333335,0.59266667,0.59266667
17,TCL,73.4,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2020,1.4680000000000002,1.4680000000000002,1.4680000000000002,0.7340000000000001,0.7340000000000001,0.7340000000000001,1.4680000000000002,1.4680000000000002,1.4680000000000002,1.4680000000000002,0.7340000000000001,0.7340000000000001,0.7340000000000001,0.7340000000000001,0.7340000000000001,3.6700000000000004,11.01,11.01,7.340000000000001,1.4680000000000002,1.4680000000000002,2.9360000000000004,3.6700000000000004,3.6700000000000004,1.8350000000000002,3.6700000000000004,1.4680000000000002,0.7340000000000001,0.7340000000000001,0.7340000000000001,0.36700000000000005,0.7340000000000001,0.7340000000000001
18,TCL,73.2,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2021,1.4640000000000002,1.4640000000000002,1.4640000000000002,0.7320000000000001,0.7320000000000001,0.7320000000000001,1.4640000000000002,1.4640000000000002,1.4640000000000002,1.4640000000000002,0.7320000000000001,0.7320000000000001,0.7320000000000001,0.7320000000000001,0.7320000000000001,3.66,10.98,10.98,7.32,1.4640000000000002,1.4640000000000002,2.9280000000000004,3.66,3.66,1.83,3.66,1.4640000000000002,0.7320000000000001,0.7320000000000001,0.7320000000000001,0.36600000000000005,0.7320000000000001,0.7320000000000001
19,TCL,75.35,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2022,1.507,1.507,1.507,0.7535,0.7535,0.7535,1.507,1.507,1.507,1.507,0.7535,0.7535,0.7535,0.7535,0.7535,3.7675,11.302499999999998,11.302499999999998,7.535,1.507,1.507,3.014,3.7675,3.7675,1.88375,3.7675,1.507,0.7535,0.7535,0.7535,0.37675,0.7535,0.7535
20,TCL,78.265,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2023,1.5653000000000001,1.5653000000000001,1.5653000000000001,0.7826500000000001,0.7826500000000001,0.7826500000000001,1.5653000000000001,1.5653000000000001,1.5653000000000001,1.5653000000000001,0.7826500000000001,0.7826500000000001,0.7826500000000001,0.7826500000000001,0.7826500000000001,3.91325,11.739749999999999,11.739749999999999,7.8265,1.5653000000000001,1.5653000000000001,3.1306000000000003,3.91325,3.91325,1.956625,3.91325,1.5653000000000001,0.7826500000000001,0.7826500000000001,0.7826500000000001,0.39132500000000003,0.7826500000000001,0.7826500000000001
21,Microsoft,91.2,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,,2020,1.824,1.824,1.824,0.912,0.912,0.912,1.824,1.824,1.824,1.824,0.912,0.912,0.912,0.912,0.912,4.5600000000000005,13.68,13.68,9.120000000000001,1.824,1.824,3.648,4.5600000000000005,4.5600000000000005,2.2800000000000002,4.5600000000000005,1.824,0.912,0.912,0.912,0.456,0.912,0.912
22,Microsoft,93.1,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,,2021,1.8619999999999999,1.8619999999999999,1.8619999999999999,0.9309999999999999,0.9309999999999999,0.9309999999999999,1.8619999999999999,1.8619999999999999,1.8619999999999999,1.8619999999999999,0.9309999999999999,0.9309999999999999,0.9309999999999999,0.9309999999999999,0.9309999999999999,4.655,13.964999999999998,13.964999999999998,9.31,1.8619999999999999,1.8619999999999999,3.7239999999999998,4.655,4.655,2.3275,4.655,1.8619999999999999,0.9309999999999999,0.9309999999999999,0.9309999999999999,0.46549999999999997,0.9309999999999999,0.9309999999999999
23,Microsoft,82.5,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,EN,2022,1.6500000000000001,1.6500000000000001,1.6500000000000001,0.8250000000000001,0.8250000000000001,0.8250000000000001,1.6500000000000001,1.6500000000000001,1.6500000000000001,1.6500000000000001,0.8250000000000001,0.8250000000000001,0.8250000000000001,0.8250000000000001,0.8250000000000001,4.125,12.375,12.375,8.25,1.6500000000000001,1.6500000000000001,3.3000000000000003,4.125,4.125,2.0625,4.125,1.6500000000000001,0.8250000000000001,0.8250000000000001,0.8250000000000001,0.41250000000000003,0.8250000000000001,0.8250000000000001
24,Microsoft,88.6,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,EN,2023,1.772,1.772,1.772,0.886,0.886,0.886,1.772,1.772,1.772,1.772,0.886,0.886,0.886,0.886,0.886,4.43,13.29,13.29,8.86,1.772,1.772,3.544,4.43,4.43,2.215,4.43,1.772,0.886,0.886,0.886,0.443,0.886,0.886
25,SAP,89.458333,Germany,Information Technology,Software & Services,System Software,EN,2020,1.78916666,1.78916666,1.78916666,0.89458333,0.89458333,0.89458333,1.78916666,1.78916666,1.78916666,1.78916666,0.89458333,0.89458333,0.89458333,0.89458333,0.89458333,4.47291665,13.418749949999999,13.418749949999999,8.9458333,1.78916666,1.78916666,3.57833332,4.47291665,4.47291665,2.236458325,4.47291665,1.78916666,0.89458333,0.89458333,0.89458333,0.447291665,0.89458333,0.89458333
