Company_ID,CompanyName,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,Scope 1 Carbon Emissions,Scope 2 Carbon Emissions,Scope 3 Carbon Emissions,Energy Consumption,Water Consumption,Waste Generation,Environmental Policy & Management,Turnover Rate,Total Employees,Gender Diversity,Training (Number of Times),Training (Average Hours),Employee Fatalities,Occupational Injury,Communities and Philanthropy,Consumer Privacy Protection,Board Composition,Ethical Behavior,Cyber Security,Alignment with Frameworks,Assurance,Policy Influence,Risk & Crisis Management,Partnerships and Collaborations,Public Sentiment,Market Share,Profitability,WACC,Volatility,Liquidity,Beta Coefficient,GDP Growth,Unemployment
43,Infosys,79.5,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2023,3.18,3.18,3.18,1.59,1.59,1.59,3.18,5.1675,5.1675,1.9875,0.99375,0.99375,1.59,1.59,0.795,3.975,7.95,7.95,4.77,0.795,0.795,1.59,3.18,1.59,3.975,1.9875,0.795,0.795,0.795,0.795,0.3975,0.795,0.795
44,Wipro,72.5,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2020,2.9,2.9,2.9,1.45,1.45,1.45,2.9,4.7125,4.7125,1.8125,0.90625,0.90625,1.45,1.45,0.725,3.625,7.25,7.25,4.35,0.725,0.725,1.45,2.9,1.45,3.625,1.8125,0.725,0.725,0.725,0.725,0.3625,0.725,0.725
45,Wipro,77.6,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2021,3.104,3.104,3.104,1.552,1.552,1.552,3.104,5.044,5.044,1.94,0.97,0.97,1.552,1.552,0.776,3.88,7.76,7.76,4.656,0.776,0.776,1.552,3.104,1.552,3.88,1.94,0.776,0.776,0.776,0.776,0.388,0.776,0.776
46,Wipro,68.2,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2022,2.728,2.728,2.728,1.364,1.364,1.364,2.728,4.433,4.433,1.705,0.8525,0.8525,1.364,1.364,0.682,3.41,6.82,6.82,4.092,0.682,0.682,1.364,2.728,1.364,3.41,1.705,0.682,0.682,0.682,0.682,0.341,0.682,0.682
47,Wipro,68.8,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2023,2.752,2.752,2.752,1.376,1.376,1.376,2.752,4.472,4.472,1.72,0.86,0.86,1.376,1.376,0.688,3.44,6.88,6.88,4.128,0.688,0.688,1.376,2.752,1.376,3.44,1.72,0.688,0.688,0.688,0.688,0.344,0.688,0.688
48,SEAGATE,72.6,Singapore,Information Technology,"Technology Hardware, Storage & Peripherals","echnology Hardware, Storage & Peripherals",EN,2020,2.904,2.904,2.904,1.452,1.452,1.452,2.904,4.719,4.719,1.815,0.9075,0.9075,1.452,1.452,0.726,3.63,7.26,7.26,4.356,0.726,0.726,1.452,2.904,1.452,3.63,1.815,0.726,0.726,0.726,0.726,0.363,0.726,0.726
49,SEAGATE,76.1,Singapore,Information Technology,"Technology Hardware, Storage & Peripherals","echnology Hardware, Storage & Peripherals",EN,2021,3.044,3.044,3.044,1.522,1.522,1.522,3.044,4.9465,4.9465,1.9025,0.95125,0.95125,1.522,1.522,0.761,3.805,7.61,7.61,4.566,0.761,0.761,1.522,3.044,1.522,3.805,1.9025,0.761,0.761,0.761,0.761,0.3805,0.761,0.761
50,SEAGATE,78.1,Singapore,Information Technology,"Technology Hardware, Storage & Peripherals","echnology Hardware, Storage & Peripherals",EN,2022,3.124,3.124,3.124,1.562,1.562,1.562,3.124,5.0765,5.0765,1.9525,0.97625,0.97625,1.562,1.562,0.781,3.905,7.81,7.81,4.686,0.781,0.781,1.562,3.124,1.562,3.905,1.9525,0.781,0.781,0.781,0.781,0.3905,0.781,0.781
51,SEAGATE,82.5,Singapore,Information Technology,"Technology Hardware, Storage & Peripherals","echnology Hardware, Storage & Peripherals",EN,2023,3.3,3.3,3.3,1.65,1.65,1.65,3.3,5.3625,5.3625,2.0625,1.03125,1.03125,1.65,1.65,0.825,4.125,8.25,8.25,4.95,0.825,0.825,1.65,3.3,1.65,4.125,2.0625,0.825,0.825,0.825,0.825,0.4125,0.825,0.825
52,Canon,68.6,Japan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",EN,2020,2.744,2.744,2.744,1.372,1.372,1.372,2.744,4.459,4.459,1.715,0.8575,0.8575,1.372,1.372,0.686,3.43,6.86,6.86,4.116,0.686,0.686,1.372,2.744,1.372,3.43,1.715,0.686,0.686,0.686,0.686,0.343,0.686,0.686
53,Canon,67.75,Japan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",EN,2021,2.71,2.71,2.71,1.355,1.355,1.355,2.71,4.40375,4.40375,1.69375,0.846875,0.846875,1.355,1.355,0.6775,3.3875,6.775,6.775,4.065,0.6775,0.6775,1.355,2.71,1.355,3.3875,1.69375,0.6775,0.6775,0.6775,0.6775,0.33875,0.6775,0.6775
54,Canon,72.4,Japan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",EN,2022,2.896,2.896,2.896,1.448,1.448,1.448,2.896,4.706,4.706,1.81,0.905,0.905,1.448,1.448,0.724,3.62,7.24,7.24,4.344,0.724,0.724,1.448,2.896,1.448,3.62,1.81,0.724,0.724,0.724,0.724,0.362,0.724,0.724
55,Canon,84.4,Japan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",EN,2023,3.376,3.376,3.376,1.688,1.688,1.688,3.376,5.486,5.486,2.11,1.055,1.055,1.688,1.688,0.844,4.22,8.44,8.44,5.064,0.844,0.844,1.688,3.376,1.688,4.22,2.11,0.844,0.844,0.844,0.844,0.422,0.844,0.844
56,Omron,93.9,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2020,3.756,3.756,3.756,1.878,1.878,1.878,3.756,6.1035,6.1035,2.3475,1.17375,1.17375,1.878,1.878,0.939,4.695,9.39,9.39,5.634,0.939,0.939,1.878,3.756,1.878,4.695,2.3475,0.939,0.939,0.939,0.939,0.4695,0.939,0.939
57,Omron,93.4,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2021,3.736,3.736,3.736,1.868,1.868,1.868,3.736,6.071,6.071,2.335,1.1675,1.1675,1.868,1.868,0.934,4.67,9.34,9.34,5.604,0.934,0.934,1.868,3.736,1.868,4.67,2.335,0.934,0.934,0.934,0.934,0.467,0.934,0.934
58,Omron,92.2,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2022,3.688,3.688,3.688,1.844,1.844,1.844,3.688,5.993,5.993,2.305,1.1525,1.1525,1.844,1.844,0.922,4.61,9.22,9.22,5.532,0.922,0.922,1.844,3.688,1.844,4.61,2.305,0.922,0.922,0.922,0.922,0.461,0.922,0.922
59,Omron,92.4,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2023,3.696,3.696,3.696,1.848,1.848,1.848,3.696,6.006,6.006,2.31,1.155,1.155,1.848,1.848,0.924,4.62,9.24,9.24,5.544,0.924,0.924,1.848,3.696,1.848,4.62,2.31,0.924,0.924,0.924,0.924,0.462,0.924,0.924
60,Delta,72.25,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2020,2.89,2.89,2.89,1.445,1.445,1.445,2.89,4.69625,4.69625,1.80625,0.903125,0.903125,1.445,1.445,0.7225,3.6125,7.225,7.225,4.335,0.7225,0.7225,1.445,2.89,1.445,3.6125,1.80625,0.7225,0.7225,0.7225,0.7225,0.36125,0.7225,0.7225
