Company_ID,CompanyName,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,Scope 1 Carbon Emissions,Scope 2 Carbon Emissions,Scope 3 Carbon Emissions,Energy Consumption,Water Consumption,Waste Generation,Environmental Policy & Management,Turnover Rate,Total Employees,Gender Diversity,Training (Number of Times),Training (Average Hours),Employee Fatalities,Occupational Injury,Communities and Philanthropy,Consumer Privacy Protection,Board Composition,Ethical Behavior,Cyber Security,Alignment with Frameworks,Assurance,Policy Influence,Risk & Crisis Management,Partnerships and Collaborations,Public Sentiment,Market Share,Profitability,WACC,Volatility,Liquidity,Beta Coefficient,GDP Growth,Unemployment
21,Microsoft,92.3,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,,2021,4.615,4.615,4.615,2.7689999999999997,2.7689999999999997,2.7689999999999997,3.692,1.846,1.846,1.846,0.923,0.923,0.923,0.923,0.923,4.615,13.844999999999999,13.844999999999999,4.615,0.923,0.923,1.846,0.923,1.846,4.615,2.3075,0.923,0.923,0.923,0.923,0.4615,0.923,0.923
22,Microsoft,92.6,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,EN,2022,4.63,4.63,4.63,2.7779999999999996,2.7779999999999996,2.7779999999999996,3.7039999999999997,1.8519999999999999,1.8519999999999999,1.8519999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,4.63,13.889999999999999,13.889999999999999,4.63,0.9259999999999999,0.9259999999999999,1.8519999999999999,0.9259999999999999,1.8519999999999999,4.63,2.315,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.46299999999999997,0.9259999999999999,0.9259999999999999
23,Microsoft,71.025,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,EN,2023,3.5512500000000005,3.5512500000000005,3.5512500000000005,2.13075,2.13075,2.13075,2.841,1.4205,1.4205,1.4205,0.71025,0.71025,0.71025,0.71025,0.71025,3.5512500000000005,10.65375,10.65375,3.5512500000000005,0.71025,0.71025,1.4205,0.71025,1.4205,3.5512500000000005,1.7756250000000002,0.71025,0.71025,0.71025,0.71025,0.355125,0.71025,0.71025
24,SAP,92.9,Germany,Information Technology,Software & Services,System Software,EN,2020,4.6450000000000005,4.6450000000000005,4.6450000000000005,2.787,2.787,2.787,3.716,1.858,1.858,1.858,0.929,0.929,0.929,0.929,0.929,4.6450000000000005,13.935,13.935,4.6450000000000005,0.929,0.929,1.858,0.929,1.858,4.6450000000000005,2.3225000000000002,0.929,0.929,0.929,0.929,0.4645,0.929,0.929
25,SAP,91.25,Germany,Information Technology,Software & Services,System Software,EN,2021,4.5625,4.5625,4.5625,2.7375,2.7375,2.7375,3.65,1.825,1.825,1.825,0.9125,0.9125,0.9125,0.9125,0.9125,4.5625,13.6875,13.6875,4.5625,0.9125,0.9125,1.825,0.9125,1.825,4.5625,2.28125,0.9125,0.9125,0.9125,0.9125,0.45625,0.9125,0.9125
26,SAP,91.9,Germany,Information Technology,Software & Services,System Software,EN,2022,4.595000000000001,4.595000000000001,4.595000000000001,2.757,2.757,2.757,3.676,1.838,1.838,1.838,0.919,0.919,0.919,0.919,0.919,4.595000000000001,13.785,13.785,4.595000000000001,0.919,0.919,1.838,0.919,1.838,4.595000000000001,2.2975000000000003,0.919,0.919,0.919,0.919,0.4595,0.919,0.919
27,SAP,84.616667,Germany,Information Technology,Software & Services,System Software,EN,2023,4.23083335,4.23083335,4.23083335,2.53850001,2.53850001,2.53850001,3.3846666800000005,1.6923333400000002,1.6923333400000002,1.6923333400000002,0.8461666700000001,0.8461666700000001,0.8461666700000001,0.8461666700000001,0.8461666700000001,4.23083335,12.692500050000001,12.692500050000001,4.23083335,0.8461666700000001,0.8461666700000001,1.6923333400000002,0.8461666700000001,1.6923333400000002,4.23083335,2.115416675,0.8461666700000001,0.8461666700000001,0.8461666700000001,0.8461666700000001,0.42308333500000006,0.8461666700000001,0.8461666700000001
28,HUAWEI,57.7,China,Information Technology,Software & Services,System Software,CN,2020,2.8850000000000002,2.8850000000000002,2.8850000000000002,1.731,1.731,1.731,2.3080000000000003,1.1540000000000001,1.1540000000000001,1.1540000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001,2.8850000000000002,8.655,8.655,2.8850000000000002,0.5770000000000001,0.5770000000000001,1.1540000000000001,0.5770000000000001,1.1540000000000001,2.8850000000000002,1.4425000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.28850000000000003,0.5770000000000001,0.5770000000000001
29,HUAWEI,56.341667,China,Information Technology,Software & Services,System Software,CN,2021,2.8170833500000003,2.8170833500000003,2.8170833500000003,1.69025001,1.69025001,1.69025001,2.2536666800000003,1.1268333400000001,1.1268333400000001,1.1268333400000001,0.5634166700000001,0.5634166700000001,0.5634166700000001,0.5634166700000001,0.5634166700000001,2.8170833500000003,8.45125005,8.45125005,2.8170833500000003,0.5634166700000001,0.5634166700000001,1.1268333400000001,0.5634166700000001,1.1268333400000001,2.8170833500000003,1.4085416750000002,0.5634166700000001,0.5634166700000001,0.5634166700000001,0.5634166700000001,0.28170833500000003,0.5634166700000001,0.5634166700000001
30,HUAWEI,57.4,China,Information Technology,Software & Services,System Software,CN,2022,2.87,2.87,2.87,1.722,1.722,1.722,2.296,1.148,1.148,1.148,0.574,0.574,0.574,0.574,0.574,2.87,8.61,8.61,2.87,0.574,0.574,1.148,0.574,1.148,2.87,1.435,0.574,0.574,0.574,0.574,0.287,0.574,0.574
